ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-12-16 00:30:00+00:00,2025-12-16 01:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1.8881,1.8978,1.8686999999999998,0.009700000000000042,1.6107010309278367,True,2.0,75.0,0.3221402061855673,2.2164948453608,-0.37113402061856,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.883210309278351,1.6107010309278367,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.61.
2025-12-17 11:15:00+00:00,2025-12-17 14:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,1.9088,1.9293,1.8678000000000001,0.020499999999999963,-1.1862243902439027,False,2.0,180.0,-0.23724487804878056,0.24390243902439632,-1.0097560975609745,stop,accepted_trade,context_change,transition,transition,no_shock,expanded,-1.055867317073171,-1.1862243902439027,Full accepted trade. setup=context_change; session=london; context=transition/transition/no_shock; stressR=-1.19.
2025-12-18 01:00:00+00:00,2025-12-18 06:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1.8561,1.8715,1.8253000000000004,0.015399999999999858,1.7589480519480496,True,2.0,345.0,0.35178961038960993,2.000000000000029,-0.9935064935064941,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9276844155844148,1.7589480519480496,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.76.
2025-12-24 04:15:00+00:00,2025-12-25 04:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1.8599,1.8775,1.8247000000000004,0.017599999999999838,-0.21135227272727466,False,2.0,1440.0,-0.04227045454545494,1.3579545454545598,-0.9602272727272767,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-0.0634056818181824,-0.21135227272727466,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.21.
2026-01-04 07:30:00+00:00,2026-01-04 12:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,2.0719,2.0566,2.1024999999999996,0.01529999999999987,1.729163398692808,True,2.0,285.0,0.34583267973856163,3.137254901960814,-0.901960784313721,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9187490196078425,1.729163398692808,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=1.73.
2026-01-05 01:00:00+00:00,2026-01-05 18:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.1295,2.078,2.232500000000001,0.05150000000000032,1.917300970873787,True,2.0,1050.0,0.3834601941747574,2.229126213592215,-0.41165048543689703,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9751902912621362,1.917300970873787,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.92.
2026-01-06 04:30:00+00:00,2026-01-06 07:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.3903,2.3608,2.4493,0.02950000000000008,-1.162054237288135,False,2.0,165.0,-0.23241084745762702,0.555932203389828,-1.532203389830501,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0486162711864406,-1.162054237288135,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.16.
2026-01-30 11:15:00+00:00,2026-01-30 11:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,1.7495,1.7624,1.7237000000000002,0.012899999999999912,-1.2712403100775211,False,2.0,30.0,-0.25424806201550426,0.08527131782946577,-1.8914728682170654,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.0813720930232564,-1.2712403100775211,Full accepted trade. setup=context_change; session=london; context=transition/transition/no_shock; stressR=-1.27.
2026-02-02 03:00:00+00:00,2026-02-02 09:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1.5639,1.6097,1.4723000000000004,0.04579999999999984,-1.0682925764192142,False,2.0,390.0,-0.21365851528384283,0.7510917030567709,-1.0240174672489106,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.0204877729257642,-1.0682925764192142,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.07.
2026-02-03 09:00:00+00:00,2026-02-03 17:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,1.6058,1.6231,1.5711999999999997,0.017300000000000093,1.8143583815028912,True,2.0,480.0,0.36287167630057826,2.057803468208073,-0.878612716763007,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9443075144508675,1.8143583815028912,Full accepted trade. setup=context_change; session=london; context=weak_or_range/range/no_shock; stressR=1.81.
